,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Hypergammaglobulinemia,isPartial,state,symptom
2014-06-01,8,False,NY,Hypergammaglobulinemia
2014-07-01,5,False,NY,Hypergammaglobulinemia
2014-08-01,0,False,NY,Hypergammaglobulinemia
2014-09-01,5,False,NY,Hypergammaglobulinemia
2014-10-01,5,False,NY,Hypergammaglobulinemia
2014-11-01,7,False,NY,Hypergammaglobulinemia
2014-12-01,9,False,NY,Hypergammaglobulinemia
2015-01-01,0,False,NY,Hypergammaglobulinemia
2015-02-01,5,False,NY,Hypergammaglobulinemia
2015-03-01,5,False,NY,Hypergammaglobulinemia
2015-04-01,5,False,NY,Hypergammaglobulinemia
2015-05-01,0,False,NY,Hypergammaglobulinemia
2015-06-01,0,False,NY,Hypergammaglobulinemia
2015-07-01,5,False,NY,Hypergammaglobulinemia
2015-08-01,5,False,NY,Hypergammaglobulinemia
2015-09-01,5,False,NY,Hypergammaglobulinemia
2015-10-01,7,False,NY,Hypergammaglobulinemia
2015-11-01,9,False,NY,Hypergammaglobulinemia
2015-12-01,5,False,NY,Hypergammaglobulinemia
2016-01-01,0,False,NY,Hypergammaglobulinemia
2016-02-01,4,False,NY,Hypergammaglobulinemia
2016-03-01,4,False,NY,Hypergammaglobulinemia
2016-04-01,0,False,NY,Hypergammaglobulinemia
2016-05-01,8,False,NY,Hypergammaglobulinemia
2016-06-01,0,False,NY,Hypergammaglobulinemia
2016-07-01,5,False,NY,Hypergammaglobulinemia
2016-08-01,9,False,NY,Hypergammaglobulinemia
2016-09-01,0,False,NY,Hypergammaglobulinemia
2016-10-01,0,False,NY,Hypergammaglobulinemia
2016-11-01,0,False,NY,Hypergammaglobulinemia
2016-12-01,4,False,NY,Hypergammaglobulinemia
2017-01-01,4,False,NY,Hypergammaglobulinemia
2017-02-01,4,False,NY,Hypergammaglobulinemia
2017-03-01,4,False,NY,Hypergammaglobulinemia
2017-04-01,4,False,NY,Hypergammaglobulinemia
2017-05-01,6,False,NY,Hypergammaglobulinemia
2017-06-01,4,False,NY,Hypergammaglobulinemia
2017-07-01,4,False,NY,Hypergammaglobulinemia
2017-08-01,0,False,NY,Hypergammaglobulinemia
2017-09-01,0,False,NY,Hypergammaglobulinemia
2017-10-01,4,False,NY,Hypergammaglobulinemia
2017-11-01,4,False,NY,Hypergammaglobulinemia
2017-12-01,0,False,NY,Hypergammaglobulinemia
2018-01-01,0,False,NY,Hypergammaglobulinemia
2018-02-01,4,False,NY,Hypergammaglobulinemia
2018-03-01,4,False,NY,Hypergammaglobulinemia
2018-04-01,4,False,NY,Hypergammaglobulinemia
2018-05-01,12,False,NY,Hypergammaglobulinemia
2018-06-01,4,False,NY,Hypergammaglobulinemia
2018-07-01,0,False,NY,Hypergammaglobulinemia
2018-08-01,4,False,NY,Hypergammaglobulinemia
2018-09-01,0,True,NY,Hypergammaglobulinemia
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Hypergammaglobulinemia,isPartial,state,symptom
2004-01-01,100,False,PA,Hypergammaglobulinemia
2004-02-01,0,False,PA,Hypergammaglobulinemia
2004-03-01,0,False,PA,Hypergammaglobulinemia
2004-04-01,0,False,PA,Hypergammaglobulinemia
2004-05-01,0,False,PA,Hypergammaglobulinemia
2004-06-01,0,False,PA,Hypergammaglobulinemia
2004-07-01,0,False,PA,Hypergammaglobulinemia
2004-08-01,0,False,PA,Hypergammaglobulinemia
2004-09-01,0,False,PA,Hypergammaglobulinemia
2004-10-01,0,False,PA,Hypergammaglobulinemia
2004-11-01,0,False,PA,Hypergammaglobulinemia
2004-12-01,0,False,PA,Hypergammaglobulinemia
2005-01-01,0,False,PA,Hypergammaglobulinemia
2005-02-01,0,False,PA,Hypergammaglobulinemia
2005-03-01,0,False,PA,Hypergammaglobulinemia
2005-04-01,0,False,PA,Hypergammaglobulinemia
2005-05-01,0,False,PA,Hypergammaglobulinemia
2005-06-01,0,False,PA,Hypergammaglobulinemia
2005-07-01,0,False,PA,Hypergammaglobulinemia
2005-08-01,0,False,PA,Hypergammaglobulinemia
2005-09-01,0,False,PA,Hypergammaglobulinemia
2005-10-01,0,False,PA,Hypergammaglobulinemia
2005-11-01,0,False,PA,Hypergammaglobulinemia
2005-12-01,0,False,PA,Hypergammaglobulinemia
2006-01-01,0,False,PA,Hypergammaglobulinemia
2006-02-01,0,False,PA,Hypergammaglobulinemia
2006-03-01,0,False,PA,Hypergammaglobulinemia
2006-04-01,0,False,PA,Hypergammaglobulinemia
2006-05-01,0,False,PA,Hypergammaglobulinemia
2006-06-01,0,False,PA,Hypergammaglobulinemia
2006-07-01,0,False,PA,Hypergammaglobulinemia
2006-08-01,35,False,PA,Hypergammaglobulinemia
2006-09-01,0,False,PA,Hypergammaglobulinemia
2006-10-01,0,False,PA,Hypergammaglobulinemia
2006-11-01,0,False,PA,Hypergammaglobulinemia
2006-12-01,0,False,PA,Hypergammaglobulinemia
2007-01-01,0,False,PA,Hypergammaglobulinemia
2007-02-01,0,False,PA,Hypergammaglobulinemia
2007-03-01,0,False,PA,Hypergammaglobulinemia
2007-04-01,0,False,PA,Hypergammaglobulinemia
2007-05-01,24,False,PA,Hypergammaglobulinemia
2007-06-01,0,False,PA,Hypergammaglobulinemia
2007-07-01,0,False,PA,Hypergammaglobulinemia
2007-08-01,0,False,PA,Hypergammaglobulinemia
2007-09-01,0,False,PA,Hypergammaglobulinemia
2007-10-01,0,False,PA,Hypergammaglobulinemia
2007-11-01,0,False,PA,Hypergammaglobulinemia
2007-12-01,0,False,PA,Hypergammaglobulinemia
2008-01-01,0,False,PA,Hypergammaglobulinemia
2008-02-01,0,False,PA,Hypergammaglobulinemia
2008-03-01,0,False,PA,Hypergammaglobulinemia
2008-04-01,0,False,PA,Hypergammaglobulinemia
2008-05-01,0,False,PA,Hypergammaglobulinemia
2008-06-01,0,False,PA,Hypergammaglobulinemia
2008-07-01,40,False,PA,Hypergammaglobulinemia
2008-08-01,0,False,PA,Hypergammaglobulinemia
2008-09-01,0,False,PA,Hypergammaglobulinemia
2008-10-01,0,False,PA,Hypergammaglobulinemia
2008-11-01,18,False,PA,Hypergammaglobulinemia
2008-12-01,0,False,PA,Hypergammaglobulinemia
2009-01-01,0,False,PA,Hypergammaglobulinemia
2009-02-01,0,False,PA,Hypergammaglobulinemia
2009-03-01,0,False,PA,Hypergammaglobulinemia
2009-04-01,0,False,PA,Hypergammaglobulinemia
2009-05-01,0,False,PA,Hypergammaglobulinemia
2009-06-01,0,False,PA,Hypergammaglobulinemia
2009-07-01,0,False,PA,Hypergammaglobulinemia
2009-08-01,0,False,PA,Hypergammaglobulinemia
2009-09-01,17,False,PA,Hypergammaglobulinemia
2009-10-01,0,False,PA,Hypergammaglobulinemia
2009-11-01,0,False,PA,Hypergammaglobulinemia
2009-12-01,0,False,PA,Hypergammaglobulinemia
2010-01-01,0,False,PA,Hypergammaglobulinemia
2010-02-01,25,False,PA,Hypergammaglobulinemia
2010-03-01,0,False,PA,Hypergammaglobulinemia
2010-04-01,16,False,PA,Hypergammaglobulinemia
2010-05-01,0,False,PA,Hypergammaglobulinemia
2010-06-01,18,False,PA,Hypergammaglobulinemia
2010-07-01,0,False,PA,Hypergammaglobulinemia
2010-08-01,0,False,PA,Hypergammaglobulinemia
2010-09-01,0,False,PA,Hypergammaglobulinemia
2010-10-01,0,False,PA,Hypergammaglobulinemia
2010-11-01,0,False,PA,Hypergammaglobulinemia
2010-12-01,0,False,PA,Hypergammaglobulinemia
2011-01-01,9,False,PA,Hypergammaglobulinemia
2011-02-01,9,False,PA,Hypergammaglobulinemia
2011-03-01,0,False,PA,Hypergammaglobulinemia
2011-04-01,0,False,PA,Hypergammaglobulinemia
2011-05-01,0,False,PA,Hypergammaglobulinemia
2011-06-01,9,False,PA,Hypergammaglobulinemia
2011-07-01,0,False,PA,Hypergammaglobulinemia
2011-08-01,0,False,PA,Hypergammaglobulinemia
2011-09-01,16,False,PA,Hypergammaglobulinemia
2011-10-01,0,False,PA,Hypergammaglobulinemia
2011-11-01,0,False,PA,Hypergammaglobulinemia
2011-12-01,15,False,PA,Hypergammaglobulinemia
2012-01-01,0,False,PA,Hypergammaglobulinemia
2012-02-01,0,False,PA,Hypergammaglobulinemia
2012-03-01,6,False,PA,Hypergammaglobulinemia
2012-04-01,7,False,PA,Hypergammaglobulinemia
2012-05-01,7,False,PA,Hypergammaglobulinemia
2012-06-01,0,False,PA,Hypergammaglobulinemia
2012-07-01,7,False,PA,Hypergammaglobulinemia
2012-08-01,7,False,PA,Hypergammaglobulinemia
2012-09-01,13,False,PA,Hypergammaglobulinemia
2012-10-01,6,False,PA,Hypergammaglobulinemia
2012-11-01,0,False,PA,Hypergammaglobulinemia
2012-12-01,7,False,PA,Hypergammaglobulinemia
2013-01-01,6,False,PA,Hypergammaglobulinemia
2013-02-01,6,False,PA,Hypergammaglobulinemia
2013-03-01,5,False,PA,Hypergammaglobulinemia
2013-04-01,6,False,PA,Hypergammaglobulinemia
2013-05-01,6,False,PA,Hypergammaglobulinemia
2013-06-01,6,False,PA,Hypergammaglobulinemia
2013-07-01,6,False,PA,Hypergammaglobulinemia
2013-08-01,0,False,PA,Hypergammaglobulinemia
2013-09-01,0,False,PA,Hypergammaglobulinemia
2013-10-01,0,False,PA,Hypergammaglobulinemia
2013-11-01,0,False,PA,Hypergammaglobulinemia
2013-12-01,5,False,PA,Hypergammaglobulinemia
2014-01-01,7,False,PA,Hypergammaglobulinemia
2014-02-01,5,False,PA,Hypergammaglobulinemia
2014-03-01,5,False,PA,Hypergammaglobulinemia
2014-04-01,5,False,PA,Hypergammaglobulinemia
2014-05-01,0,False,PA,Hypergammaglobulinemia
2014-06-01,7,False,PA,Hypergammaglobulinemia
2014-07-01,10,False,PA,Hypergammaglobulinemia
2014-08-01,9,False,PA,Hypergammaglobulinemia
2014-09-01,0,False,PA,Hypergammaglobulinemia
2014-10-01,0,False,PA,Hypergammaglobulinemia
2014-11-01,0,False,PA,Hypergammaglobulinemia
2014-12-01,5,False,PA,Hypergammaglobulinemia
2015-01-01,5,False,PA,Hypergammaglobulinemia
2015-02-01,7,False,PA,Hypergammaglobulinemia
2015-03-01,7,False,PA,Hypergammaglobulinemia
2015-04-01,0,False,PA,Hypergammaglobulinemia
2015-05-01,0,False,PA,Hypergammaglobulinemia
2015-06-01,0,False,PA,Hypergammaglobulinemia
2015-07-01,7,False,PA,Hypergammaglobulinemia
2015-08-01,7,False,PA,Hypergammaglobulinemia
2015-09-01,6,False,PA,Hypergammaglobulinemia
2015-10-01,0,False,PA,Hypergammaglobulinemia
2015-11-01,0,False,PA,Hypergammaglobulinemia
2015-12-01,6,False,PA,Hypergammaglobulinemia
2016-01-01,0,False,PA,Hypergammaglobulinemia
2016-02-01,5,False,PA,Hypergammaglobulinemia
2016-03-01,5,False,PA,Hypergammaglobulinemia
2016-04-01,0,False,PA,Hypergammaglobulinemia
2016-05-01,5,False,PA,Hypergammaglobulinemia
2016-06-01,0,False,PA,Hypergammaglobulinemia
2016-07-01,0,False,PA,Hypergammaglobulinemia
2016-08-01,5,False,PA,Hypergammaglobulinemia
2016-09-01,0,False,PA,Hypergammaglobulinemia
2016-10-01,0,False,PA,Hypergammaglobulinemia
2016-11-01,0,False,PA,Hypergammaglobulinemia
2016-12-01,4,False,PA,Hypergammaglobulinemia
2017-01-01,4,False,PA,Hypergammaglobulinemia
2017-02-01,4,False,PA,Hypergammaglobulinemia
2017-03-01,4,False,PA,Hypergammaglobulinemia
2017-04-01,4,False,PA,Hypergammaglobulinemia
2017-05-01,8,False,PA,Hypergammaglobulinemia
2017-06-01,0,False,PA,Hypergammaglobulinemia
2017-07-01,0,False,PA,Hypergammaglobulinemia
2017-08-01,4,False,PA,Hypergammaglobulinemia
2017-09-01,4,False,PA,Hypergammaglobulinemia
2017-10-01,16,False,PA,Hypergammaglobulinemia
2017-11-01,4,False,PA,Hypergammaglobulinemia
2017-12-01,0,False,PA,Hypergammaglobulinemia
2018-01-01,4,False,PA,Hypergammaglobulinemia
2018-02-01,4,False,PA,Hypergammaglobulinemia
2018-03-01,4,False,PA,Hypergammaglobulinemia
2018-04-01,11,False,PA,Hypergammaglobulinemia
2018-05-01,4,False,PA,Hypergammaglobulinemia
2018-06-01,4,False,PA,Hypergammaglobulinemia
2018-07-01,4,False,PA,Hypergammaglobulinemia
2018-08-01,4,False,PA,Hypergammaglobulinemia
2018-09-01,0,True,PA,Hypergammaglobulinemia
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Hypergammaglobulinemia,isPartial,state,symptom
2004-01-01,0,False,TX,Hypergammaglobulinemia
2004-02-01,0,False,TX,Hypergammaglobulinemia
2004-03-01,0,False,TX,Hypergammaglobulinemia
2004-04-01,0,False,TX,Hypergammaglobulinemia
2004-05-01,0,False,TX,Hypergammaglobulinemia
2004-06-01,98,False,TX,Hypergammaglobulinemia
2004-07-01,100,False,TX,Hypergammaglobulinemia
2004-08-01,0,False,TX,Hypergammaglobulinemia
2004-09-01,0,False,TX,Hypergammaglobulinemia
2004-10-01,0,False,TX,Hypergammaglobulinemia
2004-11-01,0,False,TX,Hypergammaglobulinemia
2004-12-01,0,False,TX,Hypergammaglobulinemia
2005-01-01,0,False,TX,Hypergammaglobulinemia
2005-02-01,0,False,TX,Hypergammaglobulinemia
2005-03-01,0,False,TX,Hypergammaglobulinemia
2005-04-01,0,False,TX,Hypergammaglobulinemia
2005-05-01,0,False,TX,Hypergammaglobulinemia
2005-06-01,0,False,TX,Hypergammaglobulinemia
2005-07-01,0,False,TX,Hypergammaglobulinemia
2005-08-01,0,False,TX,Hypergammaglobulinemia
2005-09-01,0,False,TX,Hypergammaglobulinemia
2005-10-01,54,False,TX,Hypergammaglobulinemia
2005-11-01,0,False,TX,Hypergammaglobulinemia
2005-12-01,0,False,TX,Hypergammaglobulinemia
2006-01-01,0,False,TX,Hypergammaglobulinemia
2006-02-01,0,False,TX,Hypergammaglobulinemia
2006-03-01,0,False,TX,Hypergammaglobulinemia
2006-04-01,0,False,TX,Hypergammaglobulinemia
2006-05-01,42,False,TX,Hypergammaglobulinemia
2006-06-01,0,False,TX,Hypergammaglobulinemia
2006-07-01,0,False,TX,Hypergammaglobulinemia
2006-08-01,0,False,TX,Hypergammaglobulinemia
2006-09-01,0,False,TX,Hypergammaglobulinemia
2006-10-01,0,False,TX,Hypergammaglobulinemia
2006-11-01,0,False,TX,Hypergammaglobulinemia
2006-12-01,0,False,TX,Hypergammaglobulinemia
2007-01-01,0,False,TX,Hypergammaglobulinemia
2007-02-01,0,False,TX,Hypergammaglobulinemia
2007-03-01,0,False,TX,Hypergammaglobulinemia
2007-04-01,0,False,TX,Hypergammaglobulinemia
2007-05-01,51,False,TX,Hypergammaglobulinemia
2007-06-01,0,False,TX,Hypergammaglobulinemia
2007-07-01,0,False,TX,Hypergammaglobulinemia
2007-08-01,0,False,TX,Hypergammaglobulinemia
2007-09-01,0,False,TX,Hypergammaglobulinemia
2007-10-01,0,False,TX,Hypergammaglobulinemia
2007-11-01,22,False,TX,Hypergammaglobulinemia
2007-12-01,0,False,TX,Hypergammaglobulinemia
2008-01-01,20,False,TX,Hypergammaglobulinemia
2008-02-01,0,False,TX,Hypergammaglobulinemia
2008-03-01,0,False,TX,Hypergammaglobulinemia
2008-04-01,0,False,TX,Hypergammaglobulinemia
2008-05-01,0,False,TX,Hypergammaglobulinemia
2008-06-01,0,False,TX,Hypergammaglobulinemia
2008-07-01,0,False,TX,Hypergammaglobulinemia
2008-08-01,19,False,TX,Hypergammaglobulinemia
2008-09-01,0,False,TX,Hypergammaglobulinemia
2008-10-01,0,False,TX,Hypergammaglobulinemia
2008-11-01,0,False,TX,Hypergammaglobulinemia
2008-12-01,0,False,TX,Hypergammaglobulinemia
2009-01-01,17,False,TX,Hypergammaglobulinemia
2009-02-01,18,False,TX,Hypergammaglobulinemia
2009-03-01,0,False,TX,Hypergammaglobulinemia
2009-04-01,16,False,TX,Hypergammaglobulinemia
2009-05-01,0,False,TX,Hypergammaglobulinemia
2009-06-01,17,False,TX,Hypergammaglobulinemia
2009-07-01,0,False,TX,Hypergammaglobulinemia
2009-08-01,17,False,TX,Hypergammaglobulinemia
2009-09-01,16,False,TX,Hypergammaglobulinemia
2009-10-01,0,False,TX,Hypergammaglobulinemia
2009-11-01,0,False,TX,Hypergammaglobulinemia
2009-12-01,0,False,TX,Hypergammaglobulinemia
2010-01-01,0,False,TX,Hypergammaglobulinemia
2010-02-01,0,False,TX,Hypergammaglobulinemia
2010-03-01,15,False,TX,Hypergammaglobulinemia
2010-04-01,0,False,TX,Hypergammaglobulinemia
2010-05-01,31,False,TX,Hypergammaglobulinemia
2010-06-01,16,False,TX,Hypergammaglobulinemia
2010-07-01,0,False,TX,Hypergammaglobulinemia
2010-08-01,0,False,TX,Hypergammaglobulinemia
2010-09-01,24,False,TX,Hypergammaglobulinemia
2010-10-01,24,False,TX,Hypergammaglobulinemia
2010-11-01,0,False,TX,Hypergammaglobulinemia
2010-12-01,12,False,TX,Hypergammaglobulinemia
2011-01-01,7,False,TX,Hypergammaglobulinemia
2011-02-01,0,False,TX,Hypergammaglobulinemia
2011-03-01,0,False,TX,Hypergammaglobulinemia
2011-04-01,7,False,TX,Hypergammaglobulinemia
2011-05-01,7,False,TX,Hypergammaglobulinemia
2011-06-01,0,False,TX,Hypergammaglobulinemia
2011-07-01,0,False,TX,Hypergammaglobulinemia
2011-08-01,0,False,TX,Hypergammaglobulinemia
2011-09-01,0,False,TX,Hypergammaglobulinemia
2011-10-01,6,False,TX,Hypergammaglobulinemia
2011-11-01,9,False,TX,Hypergammaglobulinemia
2011-12-01,0,False,TX,Hypergammaglobulinemia
2012-01-01,0,False,TX,Hypergammaglobulinemia
2012-02-01,0,False,TX,Hypergammaglobulinemia
2012-03-01,0,False,TX,Hypergammaglobulinemia
2012-04-01,0,False,TX,Hypergammaglobulinemia
2012-05-01,7,False,TX,Hypergammaglobulinemia
2012-06-01,6,False,TX,Hypergammaglobulinemia
2012-07-01,5,False,TX,Hypergammaglobulinemia
2012-08-01,10,False,TX,Hypergammaglobulinemia
2012-09-01,11,False,TX,Hypergammaglobulinemia
2012-10-01,9,False,TX,Hypergammaglobulinemia
2012-11-01,0,False,TX,Hypergammaglobulinemia
2012-12-01,5,False,TX,Hypergammaglobulinemia
2013-01-01,0,False,TX,Hypergammaglobulinemia
2013-02-01,0,False,TX,Hypergammaglobulinemia
2013-03-01,4,False,TX,Hypergammaglobulinemia
2013-04-01,5,False,TX,Hypergammaglobulinemia
2013-05-01,0,False,TX,Hypergammaglobulinemia
2013-06-01,5,False,TX,Hypergammaglobulinemia
2013-07-01,5,False,TX,Hypergammaglobulinemia
2013-08-01,0,False,TX,Hypergammaglobulinemia
2013-09-01,0,False,TX,Hypergammaglobulinemia
2013-10-01,0,False,TX,Hypergammaglobulinemia
2013-11-01,5,False,TX,Hypergammaglobulinemia
2013-12-01,0,False,TX,Hypergammaglobulinemia
2014-01-01,0,False,TX,Hypergammaglobulinemia
2014-02-01,5,False,TX,Hypergammaglobulinemia
2014-03-01,4,False,TX,Hypergammaglobulinemia
2014-04-01,5,False,TX,Hypergammaglobulinemia
2014-05-01,5,False,TX,Hypergammaglobulinemia
2014-06-01,0,False,TX,Hypergammaglobulinemia
2014-07-01,5,False,TX,Hypergammaglobulinemia
2014-08-01,0,False,TX,Hypergammaglobulinemia
2014-09-01,10,False,TX,Hypergammaglobulinemia
2014-10-01,0,False,TX,Hypergammaglobulinemia
2014-11-01,11,False,TX,Hypergammaglobulinemia
2014-12-01,0,False,TX,Hypergammaglobulinemia
2015-01-01,5,False,TX,Hypergammaglobulinemia
2015-02-01,0,False,TX,Hypergammaglobulinemia
2015-03-01,0,False,TX,Hypergammaglobulinemia
2015-04-01,5,False,TX,Hypergammaglobulinemia
2015-05-01,5,False,TX,Hypergammaglobulinemia
2015-06-01,0,False,TX,Hypergammaglobulinemia
2015-07-01,4,False,TX,Hypergammaglobulinemia
2015-08-01,0,False,TX,Hypergammaglobulinemia
2015-09-01,0,False,TX,Hypergammaglobulinemia
2015-10-01,0,False,TX,Hypergammaglobulinemia
2015-11-01,0,False,TX,Hypergammaglobulinemia
2015-12-01,4,False,TX,Hypergammaglobulinemia
2016-01-01,4,False,TX,Hypergammaglobulinemia
2016-02-01,0,False,TX,Hypergammaglobulinemia
2016-03-01,3,False,TX,Hypergammaglobulinemia
2016-04-01,3,False,TX,Hypergammaglobulinemia
2016-05-01,0,False,TX,Hypergammaglobulinemia
2016-06-01,4,False,TX,Hypergammaglobulinemia
2016-07-01,0,False,TX,Hypergammaglobulinemia
2016-08-01,4,False,TX,Hypergammaglobulinemia
2016-09-01,4,False,TX,Hypergammaglobulinemia
2016-10-01,0,False,TX,Hypergammaglobulinemia
2016-11-01,3,False,TX,Hypergammaglobulinemia
2016-12-01,6,False,TX,Hypergammaglobulinemia
2017-01-01,3,False,TX,Hypergammaglobulinemia
2017-02-01,3,False,TX,Hypergammaglobulinemia
2017-03-01,3,False,TX,Hypergammaglobulinemia
2017-04-01,3,False,TX,Hypergammaglobulinemia
2017-05-01,3,False,TX,Hypergammaglobulinemia
2017-06-01,3,False,TX,Hypergammaglobulinemia
2017-07-01,3,False,TX,Hypergammaglobulinemia
2017-08-01,3,False,TX,Hypergammaglobulinemia
2017-09-01,3,False,TX,Hypergammaglobulinemia
2017-10-01,6,False,TX,Hypergammaglobulinemia
2017-11-01,6,False,TX,Hypergammaglobulinemia
2017-12-01,3,False,TX,Hypergammaglobulinemia
2018-01-01,5,False,TX,Hypergammaglobulinemia
2018-02-01,5,False,TX,Hypergammaglobulinemia
2018-03-01,0,False,TX,Hypergammaglobulinemia
2018-04-01,3,False,TX,Hypergammaglobulinemia
2018-05-01,3,False,TX,Hypergammaglobulinemia
2018-06-01,0,False,TX,Hypergammaglobulinemia
2018-07-01,3,False,TX,Hypergammaglobulinemia
2018-08-01,0,False,TX,Hypergammaglobulinemia
2018-09-01,0,True,TX,Hypergammaglobulinemia
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
,state,symptom
date,Cerebellar Ataxia,isPartial,state,symptom
2004-01-01,0,False,AL,Cerebellar Ataxia
2004-02-01,0,False,AL,Cerebellar Ataxia
2004-03-01,0,False,AL,Cerebellar Ataxia
2004-04-01,0,False,AL,Cerebellar Ataxia
2004-05-01,72,False,AL,Cerebellar Ataxia
2004-06-01,0,False,AL,Cerebellar Ataxia
2004-07-01,0,False,AL,Cerebellar Ataxia
2004-08-01,0,False,AL,Cerebellar Ataxia
2004-09-01,0,False,AL,Cerebellar Ataxia
2004-10-01,0,False,AL,Cerebellar Ataxia
2004-11-01,0,False,AL,Cerebellar Ataxia
2004-12-01,0,False,AL,Cerebellar Ataxia
2005-01-01,100,False,AL,Cerebellar Ataxia
2005-02-01,0,False,AL,Cerebellar Ataxia
2005-03-01,0,False,AL,Cerebellar Ataxia
2005-04-01,0,False,AL,Cerebellar Ataxia
2005-05-01,0,False,AL,Cerebellar Ataxia
2005-06-01,0,False,AL,Cerebellar Ataxia
2005-07-01,0,False,AL,Cerebellar Ataxia
2005-08-01,0,False,AL,Cerebellar Ataxia
2005-09-01,0,False,AL,Cerebellar Ataxia
2005-10-01,0,False,AL,Cerebellar Ataxia
2005-11-01,0,False,AL,Cerebellar Ataxia
2005-12-01,0,False,AL,Cerebellar Ataxia
2006-01-01,0,False,AL,Cerebellar Ataxia
2006-02-01,0,False,AL,Cerebellar Ataxia
2006-03-01,0,False,AL,Cerebellar Ataxia
2006-04-01,0,False,AL,Cerebellar Ataxia
2006-05-01,0,False,AL,Cerebellar Ataxia
2006-06-01,0,False,AL,Cerebellar Ataxia
2006-07-01,0,False,AL,Cerebellar Ataxia
2006-08-01,0,False,AL,Cerebellar Ataxia
2006-09-01,0,False,AL,Cerebellar Ataxia
2006-10-01,0,False,AL,Cerebellar Ataxia
2006-11-01,0,False,AL,Cerebellar Ataxia
2006-12-01,0,False,AL,Cerebellar Ataxia
2007-01-01,0,False,AL,Cerebellar Ataxia
2007-02-01,0,False,AL,Cerebellar Ataxia
2007-03-01,0,False,AL,Cerebellar Ataxia
2007-04-01,0,False,AL,Cerebellar Ataxia
2007-05-01,0,False,AL,Cerebellar Ataxia
2007-06-01,0,False,AL,Cerebellar Ataxia
2007-07-01,0,False,AL,Cerebellar Ataxia
2007-08-01,0,False,AL,Cerebellar Ataxia
2007-09-01,0,False,AL,Cerebellar Ataxia
2007-10-01,0,False,AL,Cerebellar Ataxia
2007-11-01,0,False,AL,Cerebellar Ataxia
2007-12-01,0,False,AL,Cerebellar Ataxia
2008-01-01,0,False,AL,Cerebellar Ataxia
2008-02-01,0,False,AL,Cerebellar Ataxia
2008-03-01,0,False,AL,Cerebellar Ataxia
2008-04-01,0,False,AL,Cerebellar Ataxia
2008-05-01,0,False,AL,Cerebellar Ataxia
2008-06-01,0,False,AL,Cerebellar Ataxia
2008-07-01,0,False,AL,Cerebellar Ataxia
2008-08-01,0,False,AL,Cerebellar Ataxia
2008-09-01,0,False,AL,Cerebellar Ataxia
2008-10-01,0,False,AL,Cerebellar Ataxia
2008-11-01,0,False,AL,Cerebellar Ataxia
2008-12-01,0,False,AL,Cerebellar Ataxia
2009-01-01,0,False,AL,Cerebellar Ataxia
2009-02-01,0,False,AL,Cerebellar Ataxia
2009-03-01,0,False,AL,Cerebellar Ataxia
2009-04-01,13,False,AL,Cerebellar Ataxia
2009-05-01,13,False,AL,Cerebellar Ataxia
2009-06-01,14,False,AL,Cerebellar Ataxia
2009-07-01,0,False,AL,Cerebellar Ataxia
2009-08-01,0,False,AL,Cerebellar Ataxia
2009-09-01,0,False,AL,Cerebellar Ataxia
2009-10-01,12,False,AL,Cerebellar Ataxia
2009-11-01,0,False,AL,Cerebellar Ataxia
2009-12-01,0,False,AL,Cerebellar Ataxia
2010-01-01,0,False,AL,Cerebellar Ataxia
2010-02-01,12,False,AL,Cerebellar Ataxia
2010-03-01,0,False,AL,Cerebellar Ataxia
2010-04-01,0,False,AL,Cerebellar Ataxia
2010-05-01,0,False,AL,Cerebellar Ataxia
2010-06-01,13,False,AL,Cerebellar Ataxia
2010-07-01,0,False,AL,Cerebellar Ataxia
2010-08-01,0,False,AL,Cerebellar Ataxia
2010-09-01,0,False,AL,Cerebellar Ataxia
2010-10-01,0,False,AL,Cerebellar Ataxia
2010-11-01,0,False,AL,Cerebellar Ataxia
2010-12-01,0,False,AL,Cerebellar Ataxia
2011-01-01,6,False,AL,Cerebellar Ataxia
2011-02-01,0,False,AL,Cerebellar Ataxia
2011-03-01,0,False,AL,Cerebellar Ataxia
2011-04-01,0,False,AL,Cerebellar Ataxia
2011-05-01,0,False,AL,Cerebellar Ataxia
2011-06-01,6,False,AL,Cerebellar Ataxia
2011-07-01,0,False,AL,Cerebellar Ataxia
2011-08-01,0,False,AL,Cerebellar Ataxia
2011-09-01,5,False,AL,Cerebellar Ataxia
